"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX"
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-01",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-02",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-03",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-04",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-05",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-06",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-07",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-08",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-09",,"0.07",,
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-10",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-11",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-12",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-13",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-14",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-15",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-16",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-17",,"0.01",,
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-18",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-19",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-20",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-22",,"0.34",,
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-23",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-24",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-25",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-26",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-27",,"0.00","0.0",
"US1VAAB0009","SHADWELL 1.0 E, VA US","2013-09-28",,"0.00","0.0",
